Issue ID,Issue Type,Summary,Description,Parent,Labels
ST30,Sub-task,Add provider profile and documents update flows,"Connect editable sections to PATCH /api/providers/me/profile and PATCH /api/providers/me/documents.",S8,frontend api provider-dashboard
ST31,Sub-task,Add provider services management flow,"Connect dashboard service management to GET /api/providers/me/services and POST /api/services.",S8,frontend api provider-dashboard
S9,Story,Build admin dashboard,"Implement the admin dashboard from the wireframe and connect it to admin APIs.",E1,frontend react admin-dashboard
ST32,Sub-task,Build admin dashboard layout,"Create the admin dashboard structure for user management and provider review workflows.",S9,frontend ui admin-dashboard
ST33,Sub-task,Load admin user management data,"Connect the dashboard to GET /api/admin/users and GET /api/admin/users/:id.",S9,frontend api admin-dashboard
ST34,Sub-task,Add user activation controls,"Connect admin actions to PATCH /api/admin/users/:id/activate and PATCH /api/admin/users/:id/deactivate.",S9,frontend api admin-dashboard
ST35,Sub-task,Add provider approval controls,"Connect admin actions to GET /api/admin/providers/pending GET /api/admin/providers/approved PATCH /api/admin/providers/:id/approve and PATCH /api/admin/providers/:id/reject.",S9,frontend api admin-dashboard
S10,Story,Add responsive polish error states and frontend tests,"Improve quality across all implemented screens with responsiveness test coverage and resilient UI states.",E1,frontend react testing polish
ST36,Sub-task,Add shared loading empty and error states,"Create reusable patterns for loading error and empty states across pages.",S10,frontend ux testing
ST37,Sub-task,Test responsive behavior across core screens,"Validate the landing services detail booking provider and admin screens across desktop and mobile layouts.",S10,frontend responsive testing
ST38,Sub-task,Add frontend test coverage for core flows,"Add tests for routing authentication gating services rendering booking flow and dashboard rendering.",S10,frontend testing
ST39,Sub-task,Document frontend setup and usage,"Update client documentation for environment variables startup steps and implemented frontend flows.",S10,frontend docs
